Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X,Centroid Y,Distance in um to nearest Cell,Area,Perimeter
CBPM03Lc_Sec04_CaMKIIa_merged.tif,19a9c11d-9656-4d13-8bef-567d3efeee6e,Annotation,ROI,,Root object (Image),Rectangle,358.73,396.2,0,37066.9,770.12
CBPM03Lc_Sec04_CaMKIIa_merged.tif,9a6ce73a-4abd-4d84-a9f8-e99d4e05b017,Annotation,Cell80,Cell,Root object (Image),Polygon,320.53,306.65,1.108,62.72,28.76
CBPM03Lc_Sec04_CaMKIIa_merged.tif,fe5e10ca-6bde-429f-884b-0d6b37903ea7,Annotation,Cell62,Cell,Root object (Image),Polygon,328.74,305.89,0.8682,18.16,15.66
CBPM03Lc_Sec04_CaMKIIa_merged.tif,1a8d502a-677d-4a19-bda7-705f5459e248,Annotation,Cell30,Cell,Root object (Image),Polygon,337.89,314.33,6.2931,59.88,28.05
CBPM03Lc_Sec04_CaMKIIa_merged.tif,197867a5-11b6-44e1-bcaf-dd25a2251fd8,Annotation,Cell33,Cell,Root object (Image),Polygon,397.85,314.19,6.2834,66.45,30.01
CBPM03Lc_Sec04_CaMKIIa_merged.tif,1ac5ea4e-abc1-4026-831f-1f537da45741,Annotation,Cell29,Cell,Root object (Image),Polygon,370.66,316.04,3.8019,27.43,19.4
CBPM03Lc_Sec04_CaMKIIa_merged.tif,9d6f0fab-8898-42e9-ac3d-d5e34c40717a,Annotation,Cell34,Cell,Root object (Image),Polygon,360.13,317.53,3.7617,57.42,27.65
CBPM03Lc_Sec04_CaMKIIa_merged.tif,87716d4c-5c9a-4601-988d-46c8ca1580c2,Annotation,Cell42,Cell,Root object (Image),Polygon,382.06,317.28,4.1847,34.52,22.81
CBPM03Lc_Sec04_CaMKIIa_merged.tif,3e0a896f-94bf-43b1-b7db-828515f09523,Annotation,Cell76,Cell,Root object (Image),Polygon,290.03,326.41,11.7625,72.06,32.07
CBPM03Lc_Sec04_CaMKIIa_merged.tif,68d84a55-343e-451a-b863-55c7fd123ec7,Annotation,Cell24,Cell,Root object (Image),Polygon,424.02,328.21,3.9015,14.55,14.02
CBPM03Lc_Sec04_CaMKIIa_merged.tif,c2d7f739-8976-4ab5-8eb6-b8848e953ac7,Annotation,Cell32,Cell,Root object (Image),Polygon,414.45,330.26,3.7005,42.27,23.94
CBPM03Lc_Sec04_CaMKIIa_merged.tif,7bfa7a5b-0736-47b5-b7dc-d05b6da59c75,Annotation,Cell74,Cell,Root object (Image),Polygon,310.47,331.23,9.6234,41.88,24.03
CBPM03Lc_Sec04_CaMKIIa_merged.tif,0f12966f-e7d0-47fd-9513-e3907e9466e7,Annotation,Cell85,Cell,Root object (Image),Polygon,385.37,333.93,12.1727,16.38,14.8
CBPM03Lc_Sec04_CaMKIIa_merged.tif,da9c1c2b-beab-4331-bccb-8aef676d12c9,Annotation,Cell50,Cell,Root object (Image),Polygon,344.59,335.51,2.8904,28.63,21.02
CBPM03Lc_Sec04_CaMKIIa_merged.tif,b4a945db-cb17-4bb8-84d6-e67595183a51,Annotation,Cell13,Cell,Root object (Image),Polygon,436.71,337.55,0.5575,36.39,23.95
